entrancia,comarca,serventia,codigo_cnj
FINAL,ANÁPOLIS,1ª Vara Cível,11394
FINAL,ANÁPOLIS,1ª Vara Criminal,11409
FINAL,ANÁPOLIS,1ª Vara de Família e Sucessões,11391
FINAL,ANÁPOLIS,1º CENTRO JUDICIÁRIO DE SOLUÇÃO DE CONFLITOS E CIDADANIA - PROCON,87020
FINAL,ANÁPOLIS,1º Juizado Especial Cível,11424
FINAL,ANÁPOLIS,1º Juizado Especial Criminal,11441
FINAL,ANÁPOLIS,2ª Vara Cível,11399
FINAL,ANÁPOLIS,2ª Vara Criminal,11410
FINAL,ANÁPOLIS,2ª Vara de Família e Sucessões,11392
FINAL,ANÁPOLIS,2º Juizado Especial Cível,11425
FINAL,ANÁPOLIS,3ª Vara Cível,11400
FINAL,ANÁPOLIS,3ª Vara Criminal,11412
FINAL,ANÁPOLIS,3ª Vara de Família e Sucessões,82343
FINAL,ANÁPOLIS,3º CENTRO JUDICIÁRIO DE SOLUÇÃO DE CONFLITOS E CIDADANIA,83752
FINAL,ANÁPOLIS,3º Juizado Especial Cível,11428
FINAL,ANÁPOLIS,4ª Vara Cível,11402
FINAL,ANÁPOLIS,4ª Vara Criminal (Presidência do Tribunal do Juri e execuções penais),13366
FINAL,ANÁPOLIS,4º CEJUSC REGIONAL VIRTUAL DO INTERIOR,88215
FINAL,ANÁPOLIS,4º Juizado Especial Cível,13226
FINAL,ANÁPOLIS,5ª Vara Cível,11406
FINAL,ANÁPOLIS,5ª Vara Criminal,78893
FINAL,ANÁPOLIS,5º CENTRO JUDICIÁRIO DE SOLUÇÃO DE CONFLITOS E CIDADANIA,83754
FINAL,ANÁPOLIS,6ª Vara Cível,13365
FINAL,ANÁPOLIS,Juizado da Infância e da Juventude,11422
FINAL,ANÁPOLIS,Juizado de Violência Doméstica e Familiar Contra a Mulher,79250
FINAL,ANÁPOLIS,Vara da Fazenda Pública Estadual,11389
FINAL,ANÁPOLIS,"Vara da Faz. Púb. Mun.,de Reg. Púb., e Amb.",13364
FINAL,ANÁPOLIS,Vara Regional de Execução Penal,79332
FINAL,APARECIDA DE GOIÂNIA,1ª Vara Cível,11448
FINAL,APARECIDA DE GOIÂNIA,1ª Vara Criminal,11453
