comarca,serventia,codigo_serventia,colunas_nao_correspondentes
GOIANIA,1a VARA DA FAZENDA PUBLICA ESTADUAL,11381,
GOIANIA,2a VARA DA FAZENDA PUBLICA ESTADUAL,11382,
GOIANIA,1a VARA DA FAZ. PUB. MUN. E DE REG. PUB. - EXECUCAO FISCAL,11384,
GOIANIA,2a VARA DA FAZ. PUB. MUN. E DE REG. PUB.,11385,
GOIANIA,3a VARA DA FAZENDA PUBLICA ESTADUAL EXECUCAO FISCAL,11386,
GOIANIA,1a VARA DE FAMILIA,11387,
GOIANIA,2a VARA DE FAMILIA,11388,
ANAPOLIS,VARA DA FAZENDA PUBLICA ESTADUAL,11389,
GOIANIA,3a VARA DE FAMILIA,11390,
ANAPOLIS,1a VARA DE FAMILIA E SUCESSOES,11391,
ANAPOLIS,2a VARA DE FAMILIA E SUCESSOES,11392,
GOIANIA,4a VARA DE FAMILIA,11393,
ANAPOLIS,1a VARA CIVEL,11394,
GOIANIA,5a VARA DE FAMILIA,11395,
GOIANIA,6a VARA DE FAMILIA,11396,
GOIANIA,1a VARA CIVEL,11397,
GOIANIA,2a VARA CIVEL,11398,
ANAPOLIS,2a VARA CIVEL,11399,
ANAPOLIS,3a VARA CIVEL,11400,
GOIANIA,3a VARA CIVEL,11401,
ANAPOLIS,4a VARA CIVEL,11402,
GOIANIA,4a VARA CIVEL,11403,
GOIANIA,5a VARA CIVEL E DE ARBITRAGEM,11404,
GOIANIA,6a VARA CIVEL,11405,
ANAPOLIS,5a VARA CIVEL,11406,
GOIANIA,7a VARA CIVEL,11407,
GOIANIA,8a VARA CIVEL,11408,
ANAPOLIS,1a VARA CRIMINAL,11409,
ANAPOLIS,2a VARA CRIMINAL,11410,
GOIANIA,9a VARA CIVEL,11411,
ANAPOLIS,3a VARA CRIMINAL,11412,
GOIANIA,10a VARA CIVEL,11413,
GOIANIA,11a VARA CIVEL,11414,
GOIANIA,12a VARA CIVEL,11415,
GOIANIA,1a VARA CRIMINAL DOS CRIMES DOLOSOS CONTRA A VIDA E TRIBUNAL DO JURI,11416,
