comarca,serventia,codigo_serventia,colunas_nao_correspondentes
GOIANIA,TRIBUNAL DE JUSTICA DO ESTADO DE GOIAS,16,codigo_serventia
LUZIANIA,JUIZADO ESPECIAL CIVEL E CRIMINAL,11510,serventia (diferente para mesmo codigo)
MINEIROS,1a VARA CRIMINAL,11519,serventia (diferente para mesmo codigo)
GOIATUBA,"2a VARA (CIV, CRIMINAL - CRIME EM GERAL, CRIMES DOLOSOS CONTRA A VIDA E PRES. DO TRIB. DO JURI, DAS FAZ.PUB.E DE REG.PUB)",11538,serventia (diferente para mesmo codigo)
MORRINHOS,"2a VARA (CIV., CRIMINAL - CRIME EM GERAL, CRIMES DOLOSOS CONTRA A VIDA E PRES. DO TRIB. DO JURI - , DAS FAZ. PUB. E DE REG. PUB. E AMBIENTAL)",11545,serventia (diferente para mesmo codigo)
PORANGATU,"2a CIVEL, DAS FAZENDAS PUBLICAS E DE REGISTROS PUBLICOS",11567,serventia (diferente para mesmo codigo)
VALPARAISO DE GOIAS,1a VARA (CIVEL E DA INFANCIA E DA JUVENTUDE),13165,serventia (diferente para mesmo codigo)
JATAI,"2a VARA CRIMINAL (CRIMES EM GERAL, CRIMES DOLOSOS CONTRA A VIDA E PRESIDENCIA DO TRIBUNAL DO JURI)",13581,serventia (diferente para mesmo codigo)
IPAMERI,"2a VARA (CIVEL, CRIMINAL - CRIME EM GERAL, CRIMES DOLOSOS CONTRA A VIDA E PRES. DO TRIB. DO JURI, DAS FAZENDAS PUB., DE REG. PUB. E AMB.)",13587,serventia (diferente para mesmo codigo)
NIQUELANDIA,"VARA CRIMINAL (CRIME EM GERAL, CRIMES DOLOSOS CONTRA A VIDA E PRES. DO TRIB. DO JURI, EXECUCAO PENAL E INFANCIA E JUVENTUDE INFRACIONAL) E JUIZADO ESPECIAL CRIMINAL",13746,serventia (diferente para mesmo codigo)
GOIANIA,GABINETE DES. JOSE PAGANUCCI JUNIOR,13921,CHAVE COMPLETA NAO ENCONTRADA
PLANALTINA,"1a VARA CRIMINAL (CRIMES DOLOSOS CONTRA A VIDA E PRESIDENCIA DO TRIBUNAL DO JURI, EXECUCAO PENAL E CRIMES ENVOLVENDO VIOLENCIA DOMESTICA",14601,serventia (diferente para mesmo codigo)
GOIANIA,6 CAMARA CIVEL,16997,codigo_serventia
GOIANIA,2 CAMARA CIVEL,16999,codigo_serventia
GOIANIA,4 CAMARA CIVEL,17046,codigo_serventia
GOIANIA,GABINETE DES. EDISON MIGUEL DA SILVA JR,17833,CHAVE COMPLETA NAO ENCONTRADA
GOIANIA,5 CAMARA CIVEL,17924,codigo_serventia
GOIANIA,GABINETE DES. IVO FAVARO,18079,CHAVE COMPLETA NAO ENCONTRADA
GOIANIA,GABINETE DES. JEOVA SARDINHA DE MORAES,52590,CHAVE COMPLETA NAO ENCONTRADA
GOIANIA,GABINETE DES. JERONYMO PEDRO VILLAS BOAS,52592,CHAVE COMPLETA NAO ENCONTRADA
GOIANIA,GABINETE DESA NELMA BRANCO FERREIRA PERILO,52593,CHAVE COMPLETA NAO ENCONTRADA
GOIANIA,ORGAO ESPECIAL,52606,codigo_serventia
GOIANIA,GABINETE DESA MARIA DAS GRACAS CARNEIRO REQUI,52612,CHAVE COMPLETA NAO ENCONTRADA
GOIANIA,GABINETE DES. LUIZ EDUARDO DE SOUSA,52615,CHAVE COMPLETA NAO ENCONTRADA
GOIANIA,GABINETE DES. CARLOS ALBERTO FRANCA,52616,CHAVE COMPLETA NAO ENCONTRADA
GOIANIA,GABINETE DES. ITAMAR DE LIMA,52618,CHAVE COMPLETA NAO ENCONTRADA
GOIANIA,3 CAMARA CIVEL,52624,codigo_serventia
GOIANIA,1 CAMARA CIVEL,52625,codigo_serventia
GOIANIA,1 SECAO CIVEL,52626,codigo_serventia
GOIANIA,2 SECAO CIVEL,52627,codigo_serventia
GOIANIA,GABINETE DES. GILBERTO MARQUES FILHO,52628,CHAVE COMPLETA NAO ENCONTRADA
GOIANIA,GABINETE DES. CARMECY ROSA MARIA A. DE OLIVEIRA,52629,CHAVE COMPLETA NAO ENCONTRADA
GOIANIA,GABINETE DES. NICOMEDES DOMINGOS BORGES,52630,codigo_serventia
GOIANIA,GABINETE DES. LUIZ CLAUDIO VEIGA BRAGA,52632,CHAVE COMPLETA NAO ENCONTRADA
GOIANIA,GABINETE DES. ITANEY FRANCISCO CAMPOS,52633,CHAVE COMPLETA NAO ENCONTRADA
GOIANIA,GABINETE DESA SANDRA REGINA TEODORO REIS,52634,CHAVE COMPLETA NAO ENCONTRADA
GOIANIA,GABINETE DES. ZACARIAS NEVES COELHO,52638,codigo_serventia
GOIANIA,GABINETE DESA BEATRIZ FIGUEIREDO FRANCO,52639,CHAVE COMPLETA NAO ENCONTRADA
GOIANIA,GABINETE DES. REINALDO ALVES FERREIRA,52640,CHAVE COMPLETA NAO ENCONTRADA
GOIANIA,GABINETE DES. GERSON SANTANA CINTRA,52641,CHAVE COMPLETA NAO ENCONTRADA
GOIANIA,GABINETE DES. ALAN SEBASTIAO DE SENA CONCEICAO,52642,CHAVE COMPLETA NAO ENCONTRADA
GOIANIA,GABINETE DES. KISLEU DIAS MACIEL FILHO,52644,CHAVE COMPLETA NAO ENCONTRADA
GOIANIA,GABINETE DESA ELIZABETH MARIA DA SILVA,52646,CHAVE COMPLETA NAO ENCONTRADA
GOIANIA,1 CAMARA CRIMINAL,52661,codigo_serventia
GOIANIA,2 CAMARA CRIMINAL,52662,codigo_serventia
GOIANIA,GABINETE DOS JUIZES AUXILIARES DA PRESIDENCIA,77716,codigo_serventia
GOIANIA,PLANTAO JUDICIAL ESTADUAL,78479,codigo_serventia
GOIANIA,OUTRAS UNIDADES,78769,codigo_serventia
APARECIDA DE GOIANIA,1o JUIZADO DE VIOLENCIA DOMESTICA E FAMILIAR CONTRA A MULHER,79270,serventia (diferente para mesmo codigo)
SENADOR CANEDO,"2a VARA CRIMINAL (CRIMES EM GERAL, CRIMES DOLOSOS CONTRA A VIDA E PRESIDENCIA DO TRIBUNAL DO JURI E CRIMES ENVOLVENDO VIOLENCIA DOMESTICA",79351,serventia (diferente para mesmo codigo)
GOIANIA,GABINETE DES. DELINTRO BELO DE ALMEIDA FILHO,79632,CHAVE COMPLETA NAO ENCONTRADA
GOIANIA,GABINETE DES. GUILHERME GUTEMBERG ISAC PINTO,79636,CHAVE COMPLETA NAO ENCONTRADA
GOIANIA,1a UNIDADE DE PROCESSAMENTO JUDICIAL - UPJ (FAMILIA),81414,codigo_serventia
GOIANIA,GABINETE DES. ANDERSON MAXIMO DE HOLANDA,82459,CHAVE COMPLETA NAO ENCONTRADA
GOIANIA,GABINETE DES. MAURICIO PORFIRIO ROSA,82623,CHAVE COMPLETA NAO ENCONTRADA
