comarca,serventia,codigo_serventia,colunas_nao_correspondentes
ANAPOLIS,1a VARA CIVEL,11394,
ANAPOLIS,1a VARA CRIMINAL,11409,
ANAPOLIS,1a VARA DE FAMILIA E SUCESSOES,11391,
ANAPOLIS,1o CENTRO JUDICIARIO DE SOLUCAO DE CONFLITOS E CIDADANIA - PROCON,87020,
ANAPOLIS,1o JUIZADO ESPECIAL CIVEL,11424,
ANAPOLIS,1o JUIZADO ESPECIAL CRIMINAL,11441,
ANAPOLIS,2a VARA CIVEL,11399,
ANAPOLIS,2a VARA CRIMINAL,11410,
ANAPOLIS,2a VARA DE FAMILIA E SUCESSOES,11392,
ANAPOLIS,2o JUIZADO ESPECIAL CIVEL,11425,
ANAPOLIS,3a VARA CIVEL,11400,
ANAPOLIS,3a VARA CRIMINAL,11412,
ANAPOLIS,3a VARA DE FAMILIA E SUCESSOES,82343,
ANAPOLIS,3o CENTRO JUDICIARIO DE SOLUCAO DE CONFLITOS E CIDADANIA,83752,
ANAPOLIS,3o JUIZADO ESPECIAL CIVEL,11428,
ANAPOLIS,4a VARA CIVEL,11402,
ANAPOLIS,4a VARA CRIMINAL (PRESIDENCIA DO TRIBUNAL DO JURI E EXECUCOES PENAIS),13366,
ANAPOLIS,4o CEJUSC REGIONAL VIRTUAL DO INTERIOR,88215,
ANAPOLIS,4o JUIZADO ESPECIAL CIVEL,13226,
ANAPOLIS,5a VARA CIVEL,11406,
ANAPOLIS,5a VARA CRIMINAL,78893,
ANAPOLIS,5o CENTRO JUDICIARIO DE SOLUCAO DE CONFLITOS E CIDADANIA,83754,
ANAPOLIS,6a VARA CIVEL,13365,
ANAPOLIS,JUIZADO DA INFANCIA E DA JUVENTUDE,11422,
ANAPOLIS,JUIZADO DE VIOLENCIA DOMESTICA E FAMILIAR CONTRA A MULHER,79250,
ANAPOLIS,VARA DA FAZENDA PUBLICA ESTADUAL,11389,
ANAPOLIS,"VARA DA FAZ. PUB. MUN.,DE REG. PUB., E AMB.",13364,
ANAPOLIS,VARA REGIONAL DE EXECUCAO PENAL,79332,
APARECIDA DE GOIANIA,1a VARA CIVEL,11448,
APARECIDA DE GOIANIA,1a VARA CRIMINAL,11453,
APARECIDA DE GOIANIA,"1a VARA CRIMINAL DOS CRIMES DOLOSOS CONTRA A VIDA, TRIBUNAL DO JURI E EXECUCOES PENAIS (PRIVATIVAS DE LIBERDADE EM REGIME ABERTO)",84491,
APARECIDA DE GOIANIA,1a VARA DE FAMILIA E SUCESSOES,11458,
APARECIDA DE GOIANIA,1o CEJUSC REGIONAL VIRTUAL DO INTERIOR,87908,
APARECIDA DE GOIANIA,1o JUIZADO ESPECIAL CIVEL,11467,
APARECIDA DE GOIANIA,1o JUIZADO ESPECIAL CRIMINAL,11468,
APARECIDA DE GOIANIA,2a VARA CIVEL,11450,
APARECIDA DE GOIANIA,2a VARA CRIMINAL,11455,
