comarca,serventia,codigo_serventia,colunas_nao_correspondentes
APARECIDA DE GOIANIA,1deg JUIZADO DE VIOLENCIA DOMESTICA E FAMILIAR CONTRA A MULHER,79270,serventia (diferente para mesmo codigo)
TRIBUNAL DE JUSTICA,GABINETE DE JUIZ SUBSTITUTO EM 2o GRAU DR. ROGERIO CARVALHO PINHEIRO,88722,comarca
TRIBUNAL DE JUSTICA,GABINETE DESA. ALICE TELES DE OLIVEIRA,87395,comarca
TRIBUNAL DE JUSTICA,GABINETE DESA ANA CRISTINA RIBEIRO PETERNELLA FRANCA,84717,"comarca, serventia (diferente para mesmo codigo)"
TRIBUNAL DE JUSTICA,GABINETE DESA BEATRIZ FIGUEIREDO FRANCO,52639,comarca
TRIBUNAL DE JUSTICA,GABINETE DESA CAMILA NINA ERBETTA NASCIMENTO,84690,"comarca, serventia (diferente para mesmo codigo)"
TRIBUNAL DE JUSTICA,GABINETE DES. ADEGMAR JOSE FERREIRA,87383,comarca
TRIBUNAL DE JUSTICA,GABINETE DESA DORACI LAMAR ROSA DA SILVA ANDRADE,84715,"comarca, serventia (diferente para mesmo codigo)"
TRIBUNAL DE JUSTICA,GABINETE DES. ADRIANO ROBERTO LINHARES CAMARGO,87390,comarca
TRIBUNAL DE JUSTICA,GABINETE DESA ELIZABETH MARIA DA SILVA,52646,comarca
TRIBUNAL DE JUSTICA,GABINETE DESA. JULIANA PEREIRA DINIZ PRUDENTE,87386,comarca
TRIBUNAL DE JUSTICA,GABINETE DES. ALAN SEBASTIAO DE SENA CONCEICAO,52642,comarca
TRIBUNAL DE JUSTICA,GABINETE DES. ALEXANDRE BIZZOTTO,88702,comarca
TRIBUNAL DE JUSTICA,GABINETE DES. ALEXANDRE DE MORAIS KAFURI,87408,comarca
TRIBUNAL DE JUSTICA,GABINETE DES. ALGOMIRO CARVALHO NETO,87406,comarca
TRIBUNAL DE JUSTICA,GABINETE DESA LILIA MONICA DE CASTRO BORGES ESCHER,84688,"comarca, serventia (diferente para mesmo codigo)"
TRIBUNAL DE JUSTICA,GABINETE DES. ALTAIR GUERRA DA COSTA,87409,comarca
TRIBUNAL DE JUSTICA,GABINETE DES. ALTAMIRO GARCIA FILHO,87393,comarca
TRIBUNAL DE JUSTICA,GABINETE DESA MARIA DAS GRACAS CARNEIRO REQUI,52612,comarca
TRIBUNAL DE JUSTICA,GABINETE DESA. MONICA CEZAR MORENO SENHORELO,87404,comarca
TRIBUNAL DE JUSTICA,GABINETE DES. ANDERSON MAXIMO DE HOLANDA,82459,comarca
TRIBUNAL DE JUSTICA,GABINETE DESA NELMA BRANCO FERREIRA PERILO,52593,comarca
TRIBUNAL DE JUSTICA,GABINETE DESA. ROBERTA NASSER LEONE,91364,comarca
TRIBUNAL DE JUSTICA,GABINETE DESA. ROZANA FERNANDES CAMAPUM,88276,comarca
TRIBUNAL DE JUSTICA,GABINETE DESA SANDRA REGINA TEODORO REIS,52634,comarca
TRIBUNAL DE JUSTICA,GABINETE DESA. SIRLEI MARTINS DA COSTA,88591,comarca
TRIBUNAL DE JUSTICA,GABINETE DES. ATILA NAVES AMARAL,87401,comarca
TRIBUNAL DE JUSTICA,GABINETE DES. AURELIANO ALBUQUERQUE AMORIM,87387,comarca
TRIBUNAL DE JUSTICA,GABINETE DESA. ZILMENE GOMIDE DA SILVA,90607,comarca
TRIBUNAL DE JUSTICA,GABINETE DES. BRENO BOSS CACHAPUZ CAIADO,87391,comarca
TRIBUNAL DE JUSTICA,GABINETE DES. CARLOS ALBERTO FRANCA,52616,comarca
TRIBUNAL DE JUSTICA,GABINETE DES. CARMECY ROSA MARIA A. DE OLIVEIRA,52629,comarca
TRIBUNAL DE JUSTICA,GABINETE DES. DELINTRO BELO DE ALMEIDA FILHO,79632,comarca
TRIBUNAL DE JUSTICA,GABINETE DES. DONIZETE MARTINS DE OLIVEIRA,87595,comarca
TRIBUNAL DE JUSTICA,GABINETE DES. EDISON MIGUEL DA SILVA JR,17833,comarca
TRIBUNAL DE JUSTICA,GABINETE DES. EDUARDO ABDON MOURA,87397,comarca
TRIBUNAL DE JUSTICA,GABINETE DES. ELISEU JOSE TAVEIRA VIEIRA,84727,comarca
TRIBUNAL DE JUSTICA,GABINETE DES. FABIANO ABEL DE ARAGAO FERNANDES,84718,comarca
TRIBUNAL DE JUSTICA,GABINETE DES. FABIO CRISTOVAO DE CAMPOS FARIA,83227,comarca
TRIBUNAL DE JUSTICA,GABINETE DES. FERNANDO BRAGA VIGGIANO,87403,comarca
TRIBUNAL DE JUSTICA,GABINETE DES. FERNANDO DE CASTRO MESQUITA,82978,comarca
TRIBUNAL DE JUSTICA,GABINETE DES. FERNANDO DE MELLO XAVIER,87407,comarca
TRIBUNAL DE JUSTICA,GABINETE DES. FERNANDO RIBEIRO MONTEFUSCO,88733,comarca
TRIBUNAL DE JUSTICA,GABINETE DES. GERSON SANTANA CINTRA,52641,comarca
TRIBUNAL DE JUSTICA,GABINETE DES. GILBERTO MARQUES FILHO,52628,comarca
TRIBUNAL DE JUSTICA,GABINETE DES. GUILHERME GUTEMBERG ISAC PINTO,79636,comarca
TRIBUNAL DE JUSTICA,GABINETE DES. HEBER CARLOS DE OLIVEIRA,87781,comarca
TRIBUNAL DE JUSTICA,GABINETE DES. ITAMAR DE LIMA,52618,comarca
TRIBUNAL DE JUSTICA,GABINETE DES. ITANEY FRANCISCO CAMPOS,52633,comarca
TRIBUNAL DE JUSTICA,GABINETE DES. IVO FAVARO,18079,comarca
TRIBUNAL DE JUSTICA,GABINETE DES. JEOVA SARDINHA DE MORAES,52590,comarca
TRIBUNAL DE JUSTICA,GABINETE DES. JERONYMO PEDRO VILLAS BOAS,52592,comarca
TRIBUNAL DE JUSTICA,GABINETE DES. JOSE CARLOS DUARTE,87389,comarca
TRIBUNAL DE JUSTICA,GABINETE DES. JOSE PAGANUCCI JUNIOR,13921,comarca
TRIBUNAL DE JUSTICA,GABINETE DES. JOSE PROTO DE OLIVEIRA,87384,comarca
TRIBUNAL DE JUSTICA,GABINETE DES. JOSE RICARDO MARCOS MACHADO,87400,comarca
TRIBUNAL DE JUSTICA,GABINETE DES. KISLEU DIAS MACIEL FILHO,52644,comarca
TRIBUNAL DE JUSTICA,GABINETE DES. LUIZ CLAUDIO VEIGA BRAGA,52632,comarca
TRIBUNAL DE JUSTICA,GABINETE DES. LUIZ EDUARDO DE SOUSA,52615,comarca
TRIBUNAL DE JUSTICA,GABINETE DES. MAURICIO PORFIRIO ROSA,82623,comarca
TRIBUNAL DE JUSTICA,GABINETE DES. MURILO VIEIRA DE FARIA,91365,comarca
TRIBUNAL DE JUSTICA,GABINETE DES. OSCAR DE OLIVEIRA SA NETO,89736,"comarca, serventia (diferente para mesmo codigo)"
TRIBUNAL DE JUSTICA,GABINETE DES. PAULO CESAR ALVES DAS NEVES,87394,comarca
TRIBUNAL DE JUSTICA,GABINETE DES. REINALDO ALVES FERREIRA,52640,comarca
TRIBUNAL DE JUSTICA,GABINETE DES. ROBERTO HORACIO REZENDE,84689,comarca
TRIBUNAL DE JUSTICA,GABINETE DES. RODRIGO DE SILVEIRA,87392,comarca
TRIBUNAL DE JUSTICA,GABINETE DES. RONNIE PAES SANDRE,87402,comarca
TRIBUNAL DE JUSTICA,GABINETE DES. SEBASTIAO LUIZ FLEURY,84714,comarca
TRIBUNAL DE JUSTICA,GABINETE DES. SERGIO MENDONCA DE ARAUJO,84716,comarca
TRIBUNAL DE JUSTICA,GABINETE DES. SILVANIO DIVINO DE ALVARENGA,85789,comarca
TRIBUNAL DE JUSTICA,GABINETE DES. SIVAL GUERRA PIRES,87388,comarca
TRIBUNAL DE JUSTICA,GABINETE DES. VICENTE LOPES DA ROCHA JUNIOR,84728,comarca
TRIBUNAL DE JUSTICA,GABINETE DES. WILD AFONSO OGAWA,87405,comarca
TRIBUNAL DE JUSTICA,GABINETE DES. WILLIAM COSTA MELLO,87410,comarca
TRIBUNAL DE JUSTICA,GABINETE DES. WILSON DA SILVA DIAS,87399,comarca
TRIBUNAL DE JUSTICA,GABINETE DES. WILSON SAFATLE FAIAD,82979,comarca
TRIBUNAL DE JUSTICA,GABINETE DES. WILTON MULLER SALOMAO,87385,comarca
TRIBUNAL DE JUSTICA,NUCLEO DE JUSTICA 4.0 EM SEGUNDO GRAU - EXECUTIVO FISCAL MUNICIPAL,90404,comarca
TRIBUNAL DE JUSTICA,PRESIDENCIA DO TRIBUNAL DE JUSTICA,87840,comarca
TRIBUNAL DE JUSTICA,VICE-PRESIDENCIA DO TRIBUNAL DE JUSTICA,87841,"comarca, serventia (diferente para mesmo codigo)"
GOIATUBA,"2a VARA (CIV, CRIMINAL CRIME EM GERAL, CRIMES DOLOSOS CONTRA A VIDA E PRES. DO TRIB. DO JURI, DAS FAZ.PUB.E DE REG.PUB)",11538,serventia (diferente para mesmo codigo)
IPAMERI,"2a VARA (CIVEL, CRIMINAL CRIME EM GERAL, CRIMES DOLOSOS CONTRA A VIDA E PRES. DO TRIB. DO JURI, DAS FAZENDAS PUB., DE REG. PUB. E AMB.)",13587,serventia (diferente para mesmo codigo)
ITABERAI,"VARA CRIMINAL (CRIMES EM GERAL, CRIMES DOLOSOS CONTRA A VIDA E PRES. DO TRIB. DO JURI EXECUCAO PENAL) E JUIZADO ESPECIAL CRIMINAL.",83217,serventia (diferente para mesmo codigo)
JATAI,2a VARA CRIMINAL (CRIMES DOLOSOS CONTRA A VIDA E PRESIDENCIA DO TRIBUNAL DO JURI),13581,serventia (diferente para mesmo codigo)
LUZIANIA,1deg JUIZADO ESPECIAL CIVEL E CRIMINAL,11510,serventia (diferente para mesmo codigo)
LUZIANIA,2deg JUIZADO DE VIOLENCIA DOMESTICA E FAMILIAR CONTRA A MULHER,87316,serventia (diferente para mesmo codigo)
MINEIROS,1a VARA CRIMINAL (CRIMES EM GERAL E EXECUCOES PENAIS),11519,serventia (diferente para mesmo codigo)
